sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.30000000000000004,log-uni-long,1,bimo-light,1.0,1.0,1.0,1.0
0.4,uni-moderate,1,uni-heavy,0.8855421686746988,0.8795180722891566,0.8795180722891566,0.8795180722891566
0.8,log-uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.8,log-uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.5,log-uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.9,uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.6,log-uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.30000000000000004,log-uni-moderate,1,uni-heavy,0.6564245810055863,0.6368715083798883,0.6368715083798883,0.6368715083798883
0.2,uni-short,1,bimo-medium,0.4206349206349207,0.4126984126984127,0.4179894179894181,0.4179894179894181
0.8,uni-moderate,1,uni-medium,0.0,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.7000000000000001,log-uni-short,1,uni-medium,0.0,0.0,0.0,0.0
0.2,log-uni-moderate,1,bimo-light,0.6085790884718494,0.5978552278820373,0.6032171581769439,0.6032171581769439
0.6,uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.2,log-uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
0.2,uni-long,1,uni-medium,1.0,1.0,1.0,1.0
0.2,log-uni-moderate,1,exp-medium,0.6162162162162159,0.6054054054054058,0.6081081081081083,0.6081081081081083
0.30000000000000004,log-uni-moderate,1,exp-medium,0.5400516795865639,0.49612403100775143,0.49612403100775143,0.49612403100775143
0.1,log-uni-moderate,1,exp-medium,0.6957831325301205,0.6897590361445776,0.6897590361445776,0.6897590361445776
0.30000000000000004,uni-short,1,uni-light,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.9,uni-moderate,1,uni-heavy,0.0,0.0,0.0,0.0
0.2,log-uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.4,log-uni-short,1,bimo-light,0.029999999999999995,0.05,0.05,0.05
0.7000000000000001,log-uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.6,uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
1.0,log-uni-long,1,exp-light,0.0,0.0,0.0,0.0
0.9,log-uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
1.0,uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.4,log-uni-long,1,exp-medium,1.0,1.0,1.0,1.0
0.8,uni-moderate,1,bimo-heavy,0.0661764705882353,0.08823529411764706,0.09558823529411764,0.09558823529411764
1.0,log-uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.6,log-uni-moderate,1,uni-light,0.03,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.7000000000000001,uni-moderate,1,exp-light,0.09278350515463919,0.13402061855670103,0.14432989690721656,0.14432989690721656
0.4,log-uni-long,1,exp-heavy,1.0,1.0,1.0,1.0
0.30000000000000004,log-uni-long,1,exp-medium,1.0,1.0,1.0,1.0
0.30000000000000004,uni-moderate,1,bimo-medium,0.8370044052863436,0.8237885462555066,0.8237885462555066,0.8237885462555066
0.5,uni-short,1,exp-medium,0.039999999999999994,0.029999999999999975,0.029999999999999975,0.029999999999999975
0.9,uni-long,1,uni-heavy,0.10000000000000002,0.2206896551724138,0.24827586206896543,0.24827586206896543
0.1,log-uni-moderate,1,exp-light,0.6620111731843569,0.6368715083798883,0.6368715083798883,0.6368715083798883
0.1,log-uni-long,1,bimo-light,1.0,1.0,1.0,1.0
0.2,uni-moderate,1,exp-heavy,0.8770053475935828,0.8609625668449197,0.8663101604278075,0.8663101604278075
0.4,log-uni-moderate,1,bimo-heavy,0.498708010335917,0.4883720930232559,0.4883720930232559,0.4883720930232559
0.30000000000000004,log-uni-moderate,1,uni-light,0.2664473684210522,0.23026315789473684,0.23026315789473684,0.23026315789473684
0.1,uni-long,1,bimo-light,1.0,1.0,1.0,1.0
0.2,uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
0.7000000000000001,uni-moderate,1,bimo-light,0.373015873015873,0.41798941798941786,0.42328042328042326,0.42328042328042326
0.2,uni-moderate,1,bimo-light,0.8571428571428571,0.8472906403940886,0.8522167487684728,0.8522167487684728
0.6,uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.5,log-uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.5,log-uni-short,1,bimo-medium,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998
1.0,log-uni-moderate,1,exp-light,0.0,0.0,0.0,0.0
0.30000000000000004,log-uni-moderate,1,bimo-medium,0.6368563685636857,0.609756097560976,0.609756097560976,0.609756097560976
0.1,uni-long,1,exp-medium,1.0,1.0,1.0,1.0
0.1,log-uni-moderate,1,bimo-medium,0.7311475409836069,0.7311475409836069,0.7311475409836069,0.7311475409836069
1.0,uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.6,uni-long,1,uni-light,1.0,1.0,1.0,1.0
1.0,log-uni-short,1,uni-medium,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-short,1,bimo-light,0.0,0.0,0.0,0.0
1.0,log-uni-short,1,uni-heavy,0.0,0.0,0.0,0.0
0.1,log-uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.6,log-uni-moderate,1,exp-heavy,0.29754601226993865,0.2975460122699385,0.3006134969325151,0.3006134969325151
0.8,log-uni-long,1,bimo-medium,0.5142118863049101,0.6227390180878559,0.6279069767441856,0.6279069767441856
0.4,log-uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
0.6,log-uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.6,log-uni-long,1,exp-heavy,0.99,1.0,1.0,1.0
0.1,log-uni-long,1,exp-medium,1.0,1.0,1.0,1.0
0.7000000000000001,uni-moderate,1,uni-medium,0.2703488372093024,0.3226744186046514,0.33139534883720917,0.33139534883720917
1.0,uni-long,1,bimo-heavy,0.0,0.0,0.0,0.0
0.9,log-uni-long,1,uni-heavy,0.040178571428571445,0.14732142857142855,0.17410714285714285,0.17410714285714285
