sys_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.30000000000000004,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.1,0.2159090909090909,0.196969696969697,0.196969696969697,0.196969696969697
0.7000000000000001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.4,0.009999999999999998,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.2,0.07407407407407411,0.07407407407407411,0.07407407407407411,0.07407407407407411
